"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Peach! Dapat kasama si @attymeltweet dito. #PiliPinasDebates2016 @Luchitweet  https://t.co/18KQZoKjBg",FALSE,0,NA,2016-03-05 02:31:06,FALSE,NA,"705943692415094785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mykapalaran",0,FALSE,FALSE,NA,NA
"2","RT @FEUMNL: Divergent Debate

Duterte - DauntlessSantiago - EruditePoe - AmityBinay &amp;  Roxas - Factionless

#PiliPinasDebates2016",FALSE,0,NA,2016-03-05 02:22:19,FALSE,NA,"705941479273795584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tamaramae_",273,TRUE,FALSE,NA,NA
"3","RT @imdanielpadilla: Good Luck Kuya MAR ! #MarwithaPlan #PiliPinasDebates2016",FALSE,0,NA,2016-03-05 02:21:17,FALSE,NA,"705941220715925504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loloveeeees",3385,TRUE,FALSE,NA,NA
"4","RT @FEUMNL: Divergent Debate

Duterte - DauntlessSantiago - EruditePoe - AmityBinay &amp;  Roxas - Factionless

#PiliPinasDebates2016",FALSE,0,NA,2016-03-05 02:20:09,FALSE,NA,"705940937852125185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","heygryy",273,TRUE,FALSE,NA,NA
"5","RT @Senyora: Dear @TV5manila sana pakinggan nyo ang suhestiyon ko para sa round 2 ng #PiliPinasDebates2016 sa March 20 sa Cebu <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD> https://t<U+2026>",FALSE,0,NA,2016-03-05 02:16:36,FALSE,NA,"705940040380080128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dannyorbeta",479,TRUE,FALSE,NA,NA
"6","RT @Senyora: Dear @TV5manila sana pakinggan nyo ang suhestiyon ko para sa round 2 ng #PiliPinasDebates2016 sa March 20 sa Cebu <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD> https://t<U+2026>",FALSE,0,NA,2016-03-05 02:08:01,FALSE,NA,"705937882108731393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kirstiemel09",479,TRUE,FALSE,NA,NA
"7","RT @Senyora: Dear @TV5manila sana pakinggan nyo ang suhestiyon ko para sa round 2 ng #PiliPinasDebates2016 sa March 20 sa Cebu <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD> https://t<U+2026>",FALSE,0,NA,2016-03-05 02:05:55,FALSE,NA,"705937353831874560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","archiiejayt",479,TRUE,FALSE,NA,NA
"8","#ALDUBMaineEvent  . #AlDub
#PiliPinasDebates2016
#24Oras - March 4, 2016 #KMJS11

#BalitangAmianan #EatBulaga... https://t.co/U8ASygmQM8",FALSE,0,NA,2016-03-05 02:01:57,FALSE,NA,"705936357332418560",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","24OrasAmianan",0,FALSE,FALSE,NA,NA
"9","#PiliPinas #PiliPinasDebates2016  https://t.co/JQU4r4328r",FALSE,1,NA,2016-03-05 01:57:36,FALSE,NA,"705935262157647872",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","xpeanutgalleryx",0,FALSE,FALSE,NA,NA
"10","RT @Senyora: Dear @TV5manila sana pakinggan nyo ang suhestiyon ko para sa round 2 ng #PiliPinasDebates2016 sa March 20 sa Cebu <ed><U+00A0><U+00BC><ed><U+00B7><U+00B5><ed><U+00A0><U+00BC><ed><U+00B7><U+00AD> https://t<U+2026>",FALSE,0,NA,2016-03-05 01:57:28,FALSE,NA,"705935226988433408",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","johanesdimal",479,TRUE,FALSE,NA,NA
