"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@jamesxreid thanks for being nice clark :) sana di ka magbago :)
<U+00A9> @briliantjuan

#JaDine<U+2026> https://t.co/mAEmCtYuDF",FALSE,0,"jamesxreid",2016-03-05 02:21:27,FALSE,NA,"705941262160044032","401483166","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ojdattack_my",0,FALSE,FALSE,NA,NA
"2","IKAW PARIN PALA ANG HANAP HANAP PARAPAAAAP<ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> #LSS #JADINE<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,NA,2016-03-05 02:20:38,FALSE,NA,"705941055951101952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HugotQueen404",0,FALSE,FALSE,NA,NA
"3","#Repost @welovejadine
Back to work! Let's win this KCA thing!
3 days left!
Go go! <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> #JaDine<U+2026> https://t.co/OJaLVCBRub",FALSE,0,NA,2016-03-05 02:18:40,FALSE,NA,"705940563267350528",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ojdattack_my",0,FALSE,FALSE,NA,NA
"4","RT @JaDinestersHK: #VoteJamesFPP #KCA 
regrann from @ainnadedios  -  shopping with Nadine #jadine #nadinelustre<U+2026> https://t.co/p2HGlQ1UZy",FALSE,0,NA,2016-03-05 02:16:21,FALSE,NA,"705939981190074368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ForeverJaDine_M",1,TRUE,FALSE,NA,NA
"5","OMG i'm so happy coz my twitter is finally back. 

#JamesReid #JaDine #NadineLustre #Fangirl https://t.co/bmDlEr6Jpu",FALSE,0,NA,2016-03-05 02:16:04,FALSE,NA,"705939908041412608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Naughtella_30",0,FALSE,FALSE,NA,NA
"6","@claizter21 @MsOCPacheco @chinggaycruz @pepperoniblythe hola! My fellow gorgeous ladies!<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>aka LULONG #JaDine",FALSE,2,"claizter21",2016-03-05 02:14:54,FALSE,"705760183503294464","705939612519170048","3308215963","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FanGirlTLG",0,FALSE,FALSE,NA,NA
"7","He has the same pose srsly hahaha @jamesxreid

<U+00A9>chantal
#VoteJamesFPP #KCA 
#JaDine #JamesReid<U+2026> https://t.co/GDdWHIhUuN",FALSE,0,NA,2016-03-05 02:05:52,FALSE,NA,"705937340385116160",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ojdattack_my",0,FALSE,FALSE,NA,NA
"8","RT @ylimeU: A 2 yr old FilCan #OTWOLISTA BABY singing @JayeHanash @chantyxc @hellobangsie @Team_JaDinePH #jadineisreal #jadine https://t.co<U+2026>",FALSE,0,NA,2016-03-05 02:03:05,FALSE,NA,"705936640745693185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pusangceejay",129,TRUE,FALSE,NA,NA
"9","RT @ylimeU: A 2 yr old FilCan #OTWOLISTA BABY singing @JayeHanash @chantyxc @hellobangsie @Team_JaDinePH #jadineisreal #jadine https://t.co<U+2026>",FALSE,0,NA,2016-03-05 01:54:14,FALSE,NA,"705934413138259968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaDineCuddles",129,TRUE,FALSE,NA,NA
"10","RT @ylimeU: A 2 yr old FilCan #OTWOLISTA BABY singing @JayeHanash @chantyxc @hellobangsie @Team_JaDinePH #jadineisreal #jadine https://t.co<U+2026>",FALSE,0,NA,2016-03-05 01:53:55,FALSE,NA,"705934335874961408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BelchezJerralyn",129,TRUE,FALSE,NA,NA
"11","RT @ofcWeLoveJADINE: We really do misses CLeah too <ed><U+00AE><U+00BA><ed><U+00BC><U+008F>

#JaDine #OTWOLHangover #JamesReid #NadineLustre [WLJD Staff-S] https://t.co/MmvzSFyHza",FALSE,0,NA,2016-03-05 01:53:26,FALSE,NA,"705934213694926848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BelchezJerralyn",38,TRUE,FALSE,NA,NA
"12","RT @TeamKaBebe: And I'm proud to be one <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #JADINE 
Love you Jadines. Ibang klase kayo Salamat sa lahat ng<U+2026> https://t.co/6fu8fCZKL1",FALSE,0,NA,2016-03-05 01:48:36,FALSE,NA,"705932995224403968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nanzeeng",28,TRUE,FALSE,NA,NA
"13","#VoteJamesFPP #KCA 
regrann from @ainnadedios  -  shopping with Nadine #jadine #nadinelustre<U+2026> https://t.co/p2HGlQ1UZy",FALSE,1,NA,2016-03-05 01:45:10,FALSE,NA,"705932131428651010",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JaDinestersHK",1,FALSE,FALSE,NA,NA
"14","VOTE! VOTE! VOTE!
We can win this, JaDines! Nothing is impossible! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>

#JaDine #NadineLustre https://t.co/Sx5tB4g3tl",FALSE,0,NA,2016-03-05 01:43:07,FALSE,NA,"705931615701180418",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","friendsofjadine",1,FALSE,FALSE,NA,NA
"15","https://t.co/ePx9IKq4wm #VoteJamesFPP #kca #jadine @JayeHanash @hellobangsie",FALSE,0,NA,2016-03-05 01:41:57,FALSE,NA,"705931321667936256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","deluna_ashley",0,FALSE,FALSE,NA,NA
"16","RT @WLJDAus: #VoteJamesFPP #KCA NADINE FOR MYX AWARDS Repost @ainnadedios
<U+30FB><U+30FB><U+30FB>
shopping with Nadine #jadine<U+2026> https://t.co/WAvrQpTsbE",FALSE,0,NA,2016-03-05 01:41:00,FALSE,NA,"705931083460706305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roseysanjose",3,TRUE,FALSE,NA,NA
"17","RT @ylimeU: A 2 yr old FilCan #OTWOLISTA BABY singing @JayeHanash @chantyxc @hellobangsie @Team_JaDinePH #jadineisreal #jadine https://t.co<U+2026>",FALSE,0,NA,2016-03-05 01:37:59,FALSE,NA,"705930325197631489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItsmeRellyy",129,TRUE,FALSE,NA,NA
"18","GoodMorning! :)
With my baby sis.
#Jadine. &lt;3 https://t.co/1F63ys9m3s",FALSE,1,"DonnaCorpenio",2016-03-05 01:36:01,FALSE,"705250637529772032","705929828084506624","705241500183973888","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DonnaCorpenio",0,FALSE,FALSE,NA,NA
"19","RT @BisayaTaVibes: This could be us. Wala lay Snow sa Pilipinas. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B2><U+009E> #RelationshipGoals #Jadine #Otwolista #RT #OTWOLReelToReal https://t<U+2026>",FALSE,0,NA,2016-03-05 01:35:40,FALSE,NA,"705929743263117312",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","janedida",197,TRUE,FALSE,NA,NA
"20","RT @TeamKaBebe: And I'm proud to be one <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #JADINE 
Love you Jadines. Ibang klase kayo Salamat sa lahat ng<U+2026> https://t.co/6fu8fCZKL1",FALSE,0,NA,2016-03-05 01:35:19,FALSE,NA,"705929651844022272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","msnihaya",28,TRUE,FALSE,NA,NA
"21","RT @TeamKaBebe: And I'm proud to be one <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #JADINE 
Love you Jadines. Ibang klase kayo Salamat sa lahat ng<U+2026> https://t.co/6fu8fCZKL1",FALSE,0,NA,2016-03-05 01:30:07,FALSE,NA,"705928343493816321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jadinexreal",28,TRUE,FALSE,NA,NA
"22","RT @TeamKaBebe: And I'm proud to be one <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA> #JADINE 
Love you Jadines. Ibang klase kayo Salamat sa lahat ng<U+2026> https://t.co/6fu8fCZKL1",FALSE,0,NA,2016-03-05 01:27:48,FALSE,NA,"705927763555815424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lioness_wolfy",28,TRUE,FALSE,NA,NA
"23","Good Morning Twitter :)
#firsttimehere for #TeamReal

#JaDine #VoteJamesFPP #KCA
NADINE FOR MYX AWARDS
WELCOME BACK JADINES",FALSE,0,NA,2016-03-05 01:27:20,FALSE,NA,"705927645725388801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Judayo6l8o1zsos",0,FALSE,FALSE,NA,NA
"24","Goodmorning fam. 
#bailona #ylonagarcia #jadine #baileymay (ylonagarcia <U+2764> itsmebailey ). https://t.co/lVrHsEQqbT",FALSE,2,NA,2016-03-05 01:25:45,FALSE,NA,"705927243583909888",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","BAlLEYmay",0,FALSE,FALSE,NA,NA
