"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @TheFeelingPogi: NOW TELL ME WHO'S NOT HAPPY FOR HIM? LeoDiCaprio  #oscars  https://t.co/QcyrzBaFms",FALSE,0,NA,2016-03-05 02:18:37,FALSE,NA,"705940548842975232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GalanzaAg",9,TRUE,FALSE,NA,NA
"2","Cuando llegue #GoogleFiber a #CDMX seguro festejamos en el <U+00E1>ngel como cuando #DiCaprio gan<U+00F3> en los #Oscars xD",FALSE,0,NA,2016-03-05 02:18:34,FALSE,NA,"705940535496708101",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Chechesa",0,FALSE,FALSE,NA,NA
"3","RT @TheFeelingPogi: How many retweets for LeoDiCaprio?<U+263A>  #Oscars https://t.co/UmrslUwbLR",FALSE,0,NA,2016-03-05 02:18:24,FALSE,NA,"705940496800043008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GalanzaAg",42,TRUE,FALSE,NA,NA
"4","RT @dimondonyc: 9:06pm ""We all have dreams"" Pic @Nathankehn #Hollywood #MensStyle #Tux #TomFord #BlackTie #Oscars #DiMondo #NewYork https:/<U+2026>",FALSE,0,NA,2016-03-05 02:18:23,FALSE,NA,"705940489288159232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CordovaMadrid",4,TRUE,FALSE,NA,NA
"5","RT @RevenantMovie: Congratulations to @LeoDiCaprio on his win for Best Actor from @TheAcademy. #TheRevenant #Oscars https://t.co/8nosZ8v4fL",FALSE,0,NA,2016-03-05 02:18:18,FALSE,NA,"705940470044692480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","notlivingbyprid",5599,TRUE,FALSE,NA,NA
"6","RT @_AmranFanz: Kami takkan lupa macamana hang bunuh Jack! #Oscars https://t.co/6Bgd2uviLC",FALSE,0,NA,2016-03-05 02:18:16,FALSE,NA,"705940461307850752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaifulNaimIV",1044,TRUE,FALSE,NA,NA
"7","RT @THR: #ItsOnUs campaign gets almost 10 times more pledges after @LadyGaga's #Oscars performance https://t.co/86azuKlrJ4 https://t.co/HBC<U+2026>",FALSE,0,NA,2016-03-05 02:18:07,FALSE,NA,"705940423433388033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PawsUplLilMonst",45,TRUE,FALSE,NA,NA
"8","RT @VanessaMorgan: YASSSSSS LEO YASSSSSSS!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> #LeoDicaprio #Oscars",FALSE,0,NA,2016-03-05 02:17:58,FALSE,NA,"705940385726636033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mica__Seiler",59,TRUE,FALSE,NA,NA
"9","RT @BARRYCUDA3: @CAPTDSPAWN5 @BARRYCUDA3 WILL #WILLSMITH &amp; #SPIKELEE BE FILMING IT FOR THE #OSCARS? #BLACKHISTORYMONTH https://t.co/MyA13SW<U+2026>",FALSE,0,NA,2016-03-05 02:17:50,FALSE,NA,"705940354084818944",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","CAPTDSPAWN5",1,TRUE,FALSE,NA,NA
"10","RT @1027KIISFM: .@LeoDiCaprio's win at the #Oscars got turned into an inspirational mural! <U+2764><U+FE0F> https://t.co/CJkw0EnW1N https://t.co/GpFlc7Vv<U+2026>",FALSE,0,NA,2016-03-05 02:17:47,FALSE,NA,"705940340696420352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ambernhp2014",39,TRUE,FALSE,NA,NA
